Evento,Data/Hora,Descrição,Usuário,Documentos
1.0,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,"Copiar link para documento:processo 5004125-14.2024.8.21.0069/RS, evento 1, INIC1processo 5004125-14.2024.8.21.0069/RS, evento 1, DOC1evento 1, INIC1evento 1, DOC11.1Fecharprocesso 5004125-14.2024.8.21.0069/RS, evento 1, INIC1processo 5004125-14.2024.8.21.0069/RS, evento 1, DOC1evento 1, DOC11.1evento 1, INIC1INIC1Copiar link para documento:processo 5004125-14.2024.8.21.0069/RS, evento 1, CDA2processo 5004125-14.2024.8.21.0069/RS, evento 1, DOC2evento 1, CDA2evento 1, DOC21.2Fecharprocesso 5004125-14.2024.8.21.0069/RS, evento 1, CDA2processo 5004125-14.2024.8.21.0069/RS, evento 1, DOC2evento 1, DOC21.2evento 1, CDA2CDA2file_downloadauto_awesome_motion"
1.01,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.02,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.03,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.04,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.05,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.06,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.07,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.08,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
1.09,29/11/2024 11:02:41,Distribuído por sorteio (SRD1CIV1J),RS089598FERNANDA FREITAS DE ALMEIDAPROCURADOR,
